userid,perroid,megusta,rated_date
21,436,1,2023-02-15 11:22:21.233-05
21,57,1,2023-02-15 11:22:21.244-05
21,50,5,2023-02-15 11:22:21.251-05
21,55,5,2023-02-15 11:22:21.257-05
21,480,1,2023-02-15 11:22:21.263-05
21,126,5,2023-02-15 11:22:21.276-05
21,453,5,2023-02-15 11:22:21.282-05
21,144,5,2023-02-15 11:22:21.291-05
21,15,5,2023-02-15 11:22:21.298-05
21,197,5,2023-02-15 11:22:48.927-05
21,267,5,2023-02-15 11:22:52.407-05
21,236,5,2023-02-15 11:22:54.86-05
21,347,5,2023-02-15 11:22:57.418-05
21,360,5,2023-02-15 11:22:59.328-05
21,293,5,2023-02-15 11:23:02.024-05
21,53,5,2023-02-15 11:23:05.301-05
21,312,5,2023-02-15 11:23:07.757-05
21,321,5,2023-02-15 11:23:11.032-05
21,195,1,2023-02-15 11:23:13.287-05
21,208,1,2023-02-15 11:23:13.307-05
21,166,1,2023-02-15 11:23:13.313-05
21,463,5,2023-02-15 11:23:24.332-05
21,442,5,2023-02-15 11:23:26.489-05
21,452,5,2023-02-15 11:23:28.528-05
21,249,5,2023-02-15 11:23:33.77-05
21,220,5,2023-02-15 11:23:36.1-05
22,146,1,2023-02-15 11:23:39.752-05
22,249,5,2023-02-15 11:23:39.782-05
22,462,1,2023-02-15 11:23:39.79-05
22,222,1,2023-02-15 11:23:39.797-05
22,5,1,2023-02-15 11:23:39.804-05
22,103,5,2023-02-15 11:23:39.81-05
22,68,5,2023-02-15 11:23:39.818-05
22,145,5,2023-02-15 11:23:39.825-05
22,20,1,2023-02-15 11:23:39.831-05
22,140,1,2023-02-15 11:23:39.838-05
22,282,1,2023-02-15 11:23:39.845-05
22,378,1,2023-02-15 11:23:39.851-05
21,294,5,2023-02-15 11:23:40.002-05
21,278,5,2023-02-15 11:23:42.342-05
21,241,5,2023-02-15 11:23:46.026-05
21,283,5,2023-02-15 11:23:46.046-05
27,329,1,2023-02-15 12:47:08.908-05
21,284,1,2023-02-15 11:23:48.979-05
22,467,1,2023-02-15 11:24:07.108-05
22,116,1,2023-02-15 11:24:07.125-05
22,278,1,2023-02-15 11:24:07.13-05
22,473,1,2023-02-15 11:24:07.137-05
22,241,1,2023-02-15 11:24:07.143-05
22,208,1,2023-02-15 11:24:07.149-05
22,109,1,2023-02-15 11:24:07.155-05
22,17,1,2023-02-15 11:24:07.16-05
22,239,1,2023-02-15 11:24:07.166-05
22,147,1,2023-02-15 11:24:07.171-05
22,286,1,2023-02-15 11:24:07.176-05
22,442,1,2023-02-15 11:24:07.193-05
22,358,1,2023-02-15 11:25:33.846-05
22,231,1,2023-02-15 11:25:33.863-05
22,267,1,2023-02-15 11:25:33.869-05
22,4,1,2023-02-15 11:25:33.876-05
22,248,1,2023-02-15 11:25:33.882-05
22,455,1,2023-02-15 11:25:33.888-05
22,361,1,2023-02-15 11:25:33.893-05
22,11,1,2023-02-15 11:25:33.898-05
22,215,1,2023-02-15 11:25:33.903-05
22,407,1,2023-02-15 11:25:33.908-05
22,115,1,2023-02-15 11:25:33.913-05
22,443,1,2023-02-15 11:25:33.919-05
25,231,1,2023-02-15 11:41:57.285-05
25,121,1,2023-02-15 11:41:57.307-05
25,18,1,2023-02-15 11:41:57.313-05
25,16,1,2023-02-15 11:41:57.328-05
25,405,1,2023-02-15 11:41:57.335-05
25,8,1,2023-02-15 11:41:57.344-05
25,208,1,2023-02-15 11:41:57.35-05
25,386,5,2023-02-15 11:41:57.355-05
25,460,1,2023-02-15 11:41:57.361-05
25,303,1,2023-02-15 11:41:57.372-05
25,286,1,2023-02-15 11:41:57.378-05
25,235,5,2023-02-15 11:41:57.383-05
24,330,5,2023-02-15 11:45:34.891-05
24,365,1,2023-02-15 11:45:34.913-05
24,441,1,2023-02-15 11:45:34.919-05
24,286,1,2023-02-15 11:45:34.925-05
24,220,1,2023-02-15 11:45:34.931-05
24,406,1,2023-02-15 11:45:34.937-05
24,473,1,2023-02-15 11:45:34.943-05
24,249,1,2023-02-15 11:45:34.949-05
24,28,1,2023-02-15 11:45:34.954-05
24,472,1,2023-02-15 11:45:34.96-05
24,151,1,2023-02-15 11:45:34.966-05
24,347,1,2023-02-15 11:45:34.974-05
23,96,1,2023-02-15 11:48:28.215-05
23,481,5,2023-02-15 11:48:28.236-05
23,234,5,2023-02-15 11:48:28.242-05
23,71,1,2023-02-15 11:48:28.249-05
23,70,5,2023-02-15 11:48:28.254-05
23,406,5,2023-02-15 11:48:28.262-05
23,225,5,2023-02-15 11:48:28.267-05
23,220,1,2023-02-15 11:48:28.273-05
23,54,5,2023-02-15 11:48:28.279-05
23,298,5,2023-02-15 11:48:28.284-05
23,224,5,2023-02-15 11:48:28.292-05
23,460,5,2023-02-15 11:48:28.299-05
23,216,5,2023-02-15 11:51:06.536-05
23,422,5,2023-02-15 11:51:12.273-05
23,426,5,2023-02-15 11:51:18.389-05
23,252,5,2023-02-15 11:51:21.319-05
27,304,1,2023-02-15 12:40:03.934-05
27,443,1,2023-02-15 12:40:03.967-05
27,474,5,2023-02-15 12:40:03.994-05
27,405,5,2023-02-15 12:40:04.004-05
27,224,5,2023-02-15 12:40:04.014-05
27,279,5,2023-02-15 12:40:04.025-05
27,455,1,2023-02-15 12:40:04.033-05
27,456,5,2023-02-15 12:40:04.041-05
27,447,5,2023-02-15 12:40:04.048-05
27,44,1,2023-02-15 12:40:04.056-05
27,231,5,2023-02-15 12:40:04.063-05
27,14,5,2023-02-15 12:40:04.079-05
27,444,5,2023-02-15 12:40:34.293-05
27,305,5,2023-02-15 12:40:44.752-05
27,28,5,2023-02-15 12:40:48.702-05
27,17,5,2023-02-15 12:40:51.566-05
27,11,5,2023-02-15 12:40:56.714-05
27,12,5,2023-02-15 12:41:02.871-05
27,467,1,2023-02-15 12:41:05.046-05
27,99,1,2023-02-15 12:41:05.074-05
27,351,1,2023-02-15 12:41:05.089-05
27,112,1,2023-02-15 12:41:05.096-05
27,173,1,2023-02-15 12:41:05.104-05
27,4,1,2023-02-15 12:41:05.111-05
27,18,5,2023-02-15 12:41:13.367-05
27,376,5,2023-02-15 12:41:21.654-05
27,465,5,2023-02-15 12:41:26.063-05
27,103,5,2023-02-15 12:41:30.993-05
27,194,5,2023-02-15 12:41:38.857-05
27,401,5,2023-02-15 12:41:43.154-05
27,46,1,2023-02-15 12:41:44.707-05
27,16,1,2023-02-15 12:41:44.733-05
27,416,1,2023-02-15 12:41:44.742-05
27,26,1,2023-02-15 12:41:44.751-05
27,466,1,2023-02-15 12:41:44.76-05
27,196,1,2023-02-15 12:41:44.77-05
27,310,5,2023-02-15 12:42:02.907-05
27,379,5,2023-02-15 12:42:18.509-05
27,308,1,2023-02-15 12:46:56.77-05
27,116,1,2023-02-15 12:46:56.818-05
27,248,1,2023-02-15 12:46:56.83-05
27,5,1,2023-02-15 12:46:56.842-05
27,446,1,2023-02-15 12:46:56.861-05
27,45,1,2023-02-15 12:46:56.879-05
27,427,1,2023-02-15 12:46:56.889-05
27,400,1,2023-02-15 12:46:56.899-05
27,472,1,2023-02-15 12:46:56.908-05
27,481,1,2023-02-15 12:46:56.917-05
27,290,1,2023-02-15 12:46:56.934-05
27,281,1,2023-02-15 12:46:56.944-05
27,109,1,2023-02-15 12:47:02.985-05
27,451,1,2023-02-15 12:47:03.003-05
27,151,1,2023-02-15 12:47:03.017-05
27,445,1,2023-02-15 12:47:03.024-05
27,419,1,2023-02-15 12:47:03.031-05
27,473,1,2023-02-15 12:47:03.038-05
27,298,1,2023-02-15 12:47:03.046-05
27,263,1,2023-02-15 12:47:03.058-05
27,43,1,2023-02-15 12:47:03.066-05
27,102,1,2023-02-15 12:47:03.073-05
27,94,1,2023-02-15 12:47:03.08-05
27,260,1,2023-02-15 12:47:03.087-05
27,462,1,2023-02-15 12:47:08.825-05
27,40,1,2023-02-15 12:47:08.835-05
27,239,1,2023-02-15 12:47:08.842-05
27,313,1,2023-02-15 12:47:08.849-05
27,407,1,2023-02-15 12:47:08.856-05
27,140,1,2023-02-15 12:47:08.863-05
27,96,1,2023-02-15 12:47:08.871-05
27,380,1,2023-02-15 12:47:08.878-05
27,240,1,2023-02-15 12:47:08.885-05
27,13,1,2023-02-15 12:47:08.892-05
27,378,1,2023-02-15 12:47:08.899-05
27,289,5,2023-02-15 12:47:16.565-05
27,7,1,2023-02-15 12:47:18.275-05
27,147,1,2023-02-15 12:47:18.3-05
27,266,1,2023-02-15 12:47:18.313-05
27,222,1,2023-02-15 12:47:18.325-05
27,2,1,2023-02-15 12:47:18.335-05
27,150,1,2023-02-15 12:47:18.346-05
27,27,1,2023-02-15 12:47:18.361-05
27,20,1,2023-02-15 12:47:18.372-05
27,175,1,2023-02-15 12:47:18.38-05
27,135,1,2023-02-15 12:47:18.389-05
27,101,1,2023-02-15 12:47:18.396-05
27,213,5,2023-02-15 12:47:24.251-05
27,292,5,2023-02-15 12:47:34.389-05
27,261,5,2023-02-15 12:47:41.124-05
27,361,1,2023-02-15 12:47:45.219-05
27,291,1,2023-02-15 12:47:45.237-05
27,209,1,2023-02-15 12:47:45.252-05
27,420,1,2023-02-15 12:47:45.259-05
27,93,1,2023-02-15 12:47:45.265-05
27,88,1,2023-02-15 12:47:45.272-05
27,353,1,2023-02-15 12:47:45.279-05
27,477,1,2023-02-15 12:47:45.286-05
27,358,1,2023-02-15 12:47:45.294-05
27,360,5,2023-02-15 12:47:58.155-05
27,277,1,2023-02-15 12:48:00.474-05
27,352,1,2023-02-15 12:48:00.484-05
27,212,1,2023-02-15 12:48:00.491-05
27,343,1,2023-02-15 12:48:00.5-05
27,303,1,2023-02-15 12:48:00.508-05
27,348,1,2023-02-15 12:48:00.517-05
27,70,1,2023-02-15 12:48:00.531-05
27,57,1,2023-02-15 12:48:00.54-05
27,457,1,2023-02-15 12:48:00.554-05
27,119,1,2023-02-15 12:48:00.563-05
27,48,1,2023-02-15 12:48:00.585-05
27,207,5,2023-02-15 12:48:11.08-05
27,355,5,2023-02-15 12:48:16.621-05
27,288,1,2023-02-15 12:48:21.06-05
27,218,1,2023-02-15 12:48:21.076-05
27,223,1,2023-02-15 12:48:21.079-05
27,163,1,2023-02-15 12:48:21.082-05
27,296,1,2023-02-15 12:48:21.085-05
27,370,1,2023-02-15 12:48:21.088-05
27,269,1,2023-02-15 12:48:21.091-05
27,189,1,2023-02-15 12:48:21.094-05
27,184,1,2023-02-15 12:48:21.096-05
27,463,1,2023-02-15 12:48:21.099-05
27,294,5,2023-02-15 12:48:26.581-05
27,170,5,2023-02-15 12:48:47.688-05
27,276,1,2023-02-15 12:48:55.792-05
27,133,1,2023-02-15 12:48:55.801-05
27,186,1,2023-02-15 12:48:55.806-05
27,180,1,2023-02-15 12:48:55.812-05
27,228,1,2023-02-15 12:48:55.818-05
27,134,1,2023-02-15 12:48:55.824-05
27,347,1,2023-02-15 12:48:55.829-05
27,247,1,2023-02-15 12:48:55.835-05
27,29,1,2023-02-15 12:48:55.841-05
27,287,1,2023-02-15 12:48:55.847-05
27,204,5,2023-02-15 12:49:29.665-05
27,254,1,2023-02-15 12:49:31.355-05
27,480,1,2023-02-15 12:49:31.373-05
27,272,1,2023-02-15 12:49:31.38-05
27,382,1,2023-02-15 12:49:31.388-05
27,442,1,2023-02-15 12:49:31.394-05
27,255,1,2023-02-15 12:49:31.399-05
27,229,1,2023-02-15 12:49:31.405-05
27,257,1,2023-02-15 12:49:31.411-05
27,429,1,2023-02-15 12:49:31.416-05
27,283,1,2023-02-15 12:49:31.424-05
27,176,1,2023-02-15 12:49:31.432-05
27,125,1,2023-02-15 12:50:08.028-05
27,438,1,2023-02-15 12:50:08.052-05
27,182,1,2023-02-15 12:50:08.058-05
27,478,1,2023-02-15 12:50:08.064-05
27,363,1,2023-02-15 12:50:08.07-05
27,130,1,2023-02-15 12:50:08.076-05
27,58,1,2023-02-15 12:50:08.082-05
27,371,1,2023-02-15 12:50:08.087-05
27,161,1,2023-02-15 12:50:08.093-05
27,411,1,2023-02-15 12:50:08.098-05
27,227,1,2023-02-15 12:50:08.104-05
27,275,1,2023-02-15 12:50:08.114-05
27,264,1,2023-02-15 12:50:22.717-05
27,274,1,2023-02-15 12:50:22.737-05
27,246,1,2023-02-15 12:50:22.744-05
27,158,1,2023-02-15 12:50:22.749-05
27,452,1,2023-02-15 12:50:22.755-05
27,30,1,2023-02-15 12:50:22.761-05
27,137,1,2023-02-15 12:50:22.769-05
27,205,1,2023-02-15 12:50:22.776-05
27,469,1,2023-02-15 12:50:22.783-05
27,178,1,2023-02-15 12:50:22.789-05
27,181,1,2023-02-15 12:50:22.812-05
27,97,1,2023-02-15 12:50:22.819-05
27,285,5,2023-02-15 12:50:34.759-05
27,174,1,2023-02-15 12:50:50.102-05
27,399,1,2023-02-15 12:50:50.12-05
27,24,1,2023-02-15 12:50:50.137-05
27,142,1,2023-02-15 12:50:50.143-05
27,195,1,2023-02-15 12:50:50.148-05
27,141,1,2023-02-15 12:50:50.153-05
27,423,1,2023-02-15 12:50:50.157-05
27,55,1,2023-02-15 12:50:50.162-05
27,165,1,2023-02-15 12:50:50.168-05
27,95,1,2023-02-15 12:50:50.181-05
27,307,1,2023-02-15 12:50:50.187-05
27,131,1,2023-02-15 12:51:00.023-05
27,63,1,2023-02-15 12:51:00.041-05
27,208,1,2023-02-15 12:51:00.047-05
27,156,1,2023-02-15 12:51:00.054-05
27,364,1,2023-02-15 12:51:00.063-05
27,265,1,2023-02-15 12:51:00.069-05
27,233,1,2023-02-15 12:51:00.074-05
27,271,1,2023-02-15 12:51:00.079-05
27,267,1,2023-02-15 12:51:00.084-05
27,234,1,2023-02-15 12:51:00.089-05
27,441,1,2023-02-15 12:51:00.094-05
27,68,1,2023-02-15 12:51:00.099-05
27,220,1,2023-02-15 12:51:07.757-05
27,359,1,2023-02-15 12:51:07.781-05
27,366,1,2023-02-15 12:51:07.786-05
27,362,1,2023-02-15 12:51:07.791-05
27,123,1,2023-02-15 12:51:07.796-05
27,252,1,2023-02-15 12:51:07.801-05
27,1,1,2023-02-15 12:51:07.806-05
27,391,1,2023-02-15 12:51:07.811-05
27,32,1,2023-02-15 12:51:07.816-05
27,167,1,2023-02-15 12:51:07.822-05
27,47,1,2023-02-15 12:51:07.828-05
27,295,1,2023-02-15 12:51:07.837-05
27,415,1,2023-02-15 12:51:17.425-05
27,215,1,2023-02-15 12:51:17.451-05
27,126,1,2023-02-15 12:51:17.459-05
27,159,1,2023-02-15 12:51:17.465-05
27,253,1,2023-02-15 12:51:17.483-05
27,461,1,2023-02-15 12:51:17.49-05
27,33,1,2023-02-15 12:51:17.495-05
27,172,1,2023-02-15 12:51:17.503-05
27,139,1,2023-02-15 12:51:17.509-05
27,160,1,2023-02-15 12:51:17.516-05
27,426,1,2023-02-15 12:51:17.521-05
27,408,1,2023-02-15 12:51:17.526-05
27,349,1,2023-02-15 12:51:29.116-05
27,459,1,2023-02-15 12:51:29.132-05
27,226,1,2023-02-15 12:51:29.142-05
27,216,1,2023-02-15 12:51:29.163-05
27,268,1,2023-02-15 12:51:29.169-05
27,273,1,2023-02-15 12:51:29.175-05
27,31,1,2023-02-15 12:51:29.181-05
27,187,1,2023-02-15 12:51:29.187-05
27,157,1,2023-02-15 12:51:29.195-05
27,324,1,2023-02-15 12:51:29.201-05
